🔒 SKU Row ID,Product Code,Product Name,Zonal/Added to Zonal,Unit,Cost,Supplier ID,Active/Active,Sorting/Pin,History/Created Timestamp,History/Created by User,Import/DatafromCSV ID,Par API/SKU Added to Par Helper,Mask API/Added to SKU Mask,Ownership/Org ID,Flag/Flag,Flag/Flag Message,History/Last updated,History/Last updated by,Delete,Set/Auto-Quantity Weekday,Notes/SKU Global Note
ohUE0PUlQN67ElqBLo0TqQ,5058,Banana & Chocolate Loaf Pre-Sliced,true,1 x 14,19.65,AjTs2rKDRt2drnhqSUkbng,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,Gxxr4WZzTQq4Xp8sY4v06A,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
quJUJOzeRE6dGGr9rjgq2w,40893,Vegan Raspberry Croissants,true,44 x 90g,27.05,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,H.cPlqb8STWeDQz2qJrJcA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
I7EGprj3QzCYYciUYkYLnw,87465,Cooked pork Cocktail Sausages ,true,1kg,6.25,JKGzpLFSRxCfAxNLKmy33A,false,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,pRTqIXLnSlaJj7NETsCL6w,true,true,wuqj75edR0670x.mQmMz0A,false,,,,,,
rLSFX63wSxqb9BZDqLabwg,5397,Mini Marmalade Jars,true,72 x 28g,22.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,TFr92e2OTdSzQQgxmTJaKg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
ZQYtUwOzT5C1YMGaWciCeA,N/A,Jeeves & Jericho Camomile & Lavender Tea,true,1 x 100,21.5,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,ov4EOlVBTGGzgBAqQhqClg,true,true,wuqj75edR0670x.mQmMz0A,,,,,false,,
MuTj4TP3RRC3lVxOFZpDPQ,65409,Frozen Raspberries,true,1kg,8.4,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,mZBhKmhkRuCDOgzEOxfRlQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
QP3YTrHFRui-USs3lvLNyQ,69342,Blueberry Compote,true,1.25kg,17.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,vn5k.AioRsOFxdpCeJmrPw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
WSJ-rKNdR9KtuUn9fiqvLw,9630,Ground Almonds,true,1kg,8.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,drbuyMy9RteJfoQKTzo3OA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
FJ2c4ma1Rza8P-EO2gGXmw,N/A,Zuma Original Hot Chocolate Powder,true,1 x 2kg,16.99,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,C3Y70kGPQBqGw0oIdqZyzA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
tfIfSTaMRNm.NjVa3TJlUw,24720,Cocoa Powder,true,1kg,17.46,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,a-BKzXQQ3Rcqj-dnDZ9ViMw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
a-Hnb4HsWThm-vtStqGZfng,24464,Plain Flour,true,16kg,9.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,j7iQR4EFSRel-r05ut0Jnw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
QcpOsAuHT6iDdYY7dV4LQA,89345,Dark Chocolate Callets,true,5KG,75,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,zWQPppjkQJmABk8HmiKuzg,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
a.ra8yDt2TMymM2fq8GVSMg,25444,White Chocolate Callets,true,5KG,78.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,SOiDWoyfSPuPWi3gcD0TMw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
lYQBg1PHR166vXGXgO3G3A,81885,Caster Sugar,true,25KG,34.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,msUIXitmQwO5AsbOEuRESw,true,true,wuqj75edR0670x.mQmMz0A,,,"11/06/2025, 14:02:20",Yf4mVmvKQDqbClJDREe1rQ,,,
utIxBvEHR3-p-xeSkaDjpw,8024,Cinnamon Classic,true,1 x 8,13.55,AjTs2rKDRt2drnhqSUkbng,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,khgP1NOZQa6lh3OXEgXFiA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
fIRqVLaoRsKgr9lHN3PaHg,N/A,Jeeves & Jericho Earl Grey Tea,true,1 x 100,21.5,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,rhUvX6ZXRveLkT1-iE6LZg,true,true,wuqj75edR0670x.mQmMz0A,,,"09/06/2025, 15:17:54",LkDqWOiPRS-D6iEdWCD9IA,false,,
jG8PV-OYSI2NRbELbL9XHQ,4596,Honey,true,680g,3.95,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,96y2hVWkSd-0s69T11bxcQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
